위도,경도,설치형태,근처 가로등수,근처 CCTV개수,근처 킥라니주차장개수,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m),주변 학교 수,가장 가까운 학교와의 거리,광원 등급,위험도(100점)
36.84224211,127.1381638,메탈,119,5,1,1,93.30287104277728,2,206.09693377018024,5,47.48
36.83225921,127.1158039,나트륨,112,1,2,1,256.50325014947373,0,739.4232637229383,2,47.48
36.80910932,127.1430737,LED,94,5,6,1,281.05586493587225,0,344.4527853675841,5,47.49
36.8032505,127.1032939,CDM,131,6,4,2,263.9705926654793,1,287.0037013105018,4,47.49
36.84382754,127.1243562,CDM,128,5,2,0,1248.635040645064,3,85.58626279862693,4,47.49
36.79824172,127.109286,CDM,85,2,0,1,220.27433961617808,0,381.209566941632,4,47.49
36.8054221,127.1451713,나트륨,117,7,2,1,204.5876840392427,1,106.16132832833304,2,47.49
36.8337138,127.1165179,나트륨,119,1,3,1,88.00987405238185,0,806.6838449830666,2,47.49
36.80680426,127.1396768,LED,56,4,3,0,332.39152903428493,0,391.5807183737633,5,47.5
36.7905634,127.1273304,LED,96,8,8,0,440.2926084379823,1,119.12473597902144,5,47.5
36.79873897,127.1099436,CDM,87,2,0,1,297.85235199586896,0,310.08113336688126,4,47.5
36.84276553,127.1042608,메탈,65,5,0,0,1422.5697698931597,2,254.12536523687896,5,47.5
36.78478026,127.1283974,LED,76,3,1,1,275.8356693497591,0,300.86982887281886,5,47.5
36.83922589,127.1360109,LED,166,5,3,0,303.3512416718977,4,115.25326646964328,5,47.5
36.83063815,127.1238192,나트륨,87,5,0,0,580.7874170640962,1,206.08513687828585,2,47.51
36.83616384,127.1513722,나트륨,117,5,3,0,552.4355329490473,1,60.68734454901252,2,47.51
36.83449261,127.1493342,나트륨,142,9,5,1,296.6063079412853,2,199.4208630048348,2,47.51
36.82278984,127.1190737,LED,90,3,3,1,196.48388240522743,0,348.02214241271906,5,47.51
36.83586451,127.1420053,LED,83,11,3,0,341.87028516507314,3,186.79765914332293,5,47.51
36.84253721,127.105163,메탈,67,5,0,0,1345.263524546013,2,239.69291184589443,5,47.51
36.8439363,127.1380681,메탈,81,2,1,1,281.2131123801203,0,374.66414724362687,5,47.51
36.7853848,127.1508721,CDM,84,9,5,0,1286.86435456387,2,176.98402656390644,4,47.51
36.8101857,127.1434261,CDM,85,4,6,0,399.23384037902974,0,446.5901405621784,4,47.51
36.8068583,127.1397021,LED,56,4,3,0,330.62163828141894,0,390.0070010728997,5,47.51
36.8355044,127.1448474,LED,102,15,0,2,177.71975559562304,3,72.5222000723745,5,47.52
36.79163377,127.1645472,LED,64,5,1,0,401.8355500580337,1,246.32919349614613,5,47.52
36.82918169,127.1038696,LED,59,0,0,0,986.830000857382,0,348.407601217897,5,47.52
36.798807,127.1094312,CDM,102,2,2,1,263.77879360113656,0,318.21631129753007,4,47.52
36.82048487,127.1614203,나트륨,100,7,4,0,353.3552429628463,1,275.2280722656004,2,47.52
36.79871036,127.1374575,LED,94,4,0,0,438.78402147283504,2,182.83785015066664,5,47.52
36.79230333,127.150069,LED,72,1,2,0,586.7375643911552,0,353.2955068540108,5,47.52
36.83150587,127.1120531,나트륨,75,1,1,0,515.2036411231164,0,814.9827546858022,2,47.52
36.8054303,127.1450591,나트륨,117,7,2,1,196.39330729296373,1,101.89080789175824,2,47.52
36.80531766,127.1451286,나트륨,116,7,2,1,209.3737661416017,1,115.71501099229934,2,47.53
36.82104471,127.1270345,LED,53,2,1,0,414.2617556696703,0,469.2532689793599,5,47.53
36.82152521,127.1497041,LED,45,2,1,0,354.5951205863315,0,655.6586938910411,5,47.53
36.79346567,127.1296191,LED,77,6,5,1,249.28977555243995,0,361.234055842338,5,47.53
36.79452541,127.1602818,LED,83,6,2,0,724.8662647774064,2,254.14044459998897,5,47.53
