관리기관,관리부서,관리번호,위도,경도,소재지도로명주소,소재지지번주소,설치형태,데이터기준일자,주변 학교 수,가장 가까운 학교와의 거리,광원 등급
천안시 동남구,건설과,,36.73166658,127.0969286,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1541.3946658204245,4
천안시 동남구,건설과,,36.73102808,127.1000309,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1562.5663927072171,4
천안시 동남구,건설과,,36.73126527,127.1004074,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1533.7360944206032,4
천안시 동남구,건설과,,36.73150246,127.1007839,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1505.563510335536,4
천안시 동남구,건설과,,36.73173966,127.1011605,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1478.0849317744307,4
천안시 동남구,건설과,,36.73140966,127.0970626,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1565.8733094364377,4
천안시 동남구,건설과,,36.73212471,127.0986924,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1457.019611683441,4
천안시 동남구,건설과,,36.73163423,127.0979249,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1523.7021329627771,4
천안시 동남구,건설과,,36.73261522,127.0994152,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1393.170754375402,4
천안시 동남구,건설과,,36.7328447,127.0997793,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1363.800351098762,4
천안시 동남구,건설과,,36.73236471,127.0990398,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1425.5988988535355,4
천안시 동남구,건설과,,36.73188473,127.0983003,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1489.6616690907038,4
천안시 동남구,건설과,,36.73140474,127.0975608,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1555.71107424902,4
천안시 동남구,건설과,,36.7300793,127.0985247,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1683.78276306904,4
천안시 동남구,건설과,,36.73031649,127.0989012,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1652.6602629189024,4
천안시 동남구,건설과,,36.73055369,127.0992778,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1622.0612882180535,4
천안시 동남구,건설과,,36.731263,127.0973395,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1575.6205228503904,4
천안시 동남구,건설과,,36.73012232,127.0982617,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1682.9579711005758,4
천안시 동남구,건설과,,36.73036018,127.098036,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1660.5684250367613,4
천안시 동남구,건설과,,36.73083589,127.0975846,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1616.9090561457656,4
천안시 동남구,건설과,,36.73059803,127.0978103,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1638.5478377314682,4
천안시 동남구,건설과,,36.73107375,127.0973589,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1595.6687476021189,4
천안시 동남구,건설과,,36.73222875,127.1008813,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1424.5081900569337,4
천안시 동남구,건설과,,36.73196063,127.0982416,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1482.4071775564744,4
천안시 동남구,건설과,,36.73244437,127.0989797,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1417.6985945805532,4
천안시 동남구,건설과,,36.73292811,127.0997178,풍세면보성리,풍세면 용정리 1043,CML,2024-07-23,0,1355.2292003072616,4
